Ticker	EntryTime	ExitTime	Return [%]	CAGR [%]	Sharpe Ratio	Max. Drawdown [%]	Win Rate [%]	# Trades	Expectancy [%]	Profit Factor	Duration	Avg. Trade [%]	Max. Trade Duration	Avg. Trade Duration
SPY	2023-09-15 13:30:00+00:00	2025-09-11 19:30:00+00:00	19.424686279296875	9.378836060264216	1.2774939828098169	-5.065054764590848	100.0	5	4.663719451538295		727 days 06:00:00	4.6386282912566745	10 days 23:00:00	5 days 05:00:00
META	2023-09-15 13:30:00+00:00	2025-09-11 19:30:00+00:00	37.244214782714806	17.337240752883275	2.6446449832013625	-2.958405339270298	100.0	13	2.7480350038181296		727 days 06:00:00	2.7275664943258393	4 days 05:00:00	1 days 21:00:00
AAPL	2023-09-15 13:30:00+00:00	2025-09-11 19:30:00+00:00	10.25760498046875	5.055004318937373	1.898342611835748	-1.5241569098850438	100.0	2	10.425412636061203		727 days 06:00:00	10.425412636061203	10 days 02:00:00	10 days 02:00:00
AMZN	2023-09-15 13:30:00+00:00	2025-09-11 19:30:00+00:00	10.988517456054652	5.406130154745314	1.7736607273578597	-1.133172104048552	100.0	4	3.577315653401832		727 days 06:00:00	3.5741116367742576	2 days 01:00:00	1 days 17:00:00
NFLX	2023-09-15 13:30:00+00:00	2025-09-11 19:30:00+00:00	21.959362182617152	10.545103801182186	0.8099264036903645	-12.240826591115484	83.33333333333334	14	1.7859162831242215	5.958509550199307	727 days 06:00:00	1.758010272126298	44 days 22:00:00	7 days 14:00:00
MRNA	2023-09-15 13:30:00+00:00	2025-09-11 19:30:00+00:00	-6.969598388671856	-3.582635095183173	-0.5411873485393249	-14.863691098237942	0.0	2	-6.976742779378009	0.0	727 days 06:00:00	-6.976742779378009	7 days 20:00:00	7 days 20:00:00
TSLA	2023-09-15 13:30:00+00:00	2025-09-11 19:30:00+00:00	72.1520062255859	31.564272447716625	2.12306607538563	-4.000738999789977	100.0	7	9.624503081149838		727 days 06:00:00	9.567636834582238	7 days 02:00:00	3 days 08:00:00
TNA	2023-09-15 13:30:00+00:00	2025-09-11 19:30:00+00:00	0.0	0.0		-0.0		0			727 days 06:00:00			
GLD	2023-09-15 13:30:00+00:00	2025-09-11 19:30:00+00:00	0.0	0.0		-0.0		1			727 days 06:00:00			
SLV	2023-09-15 13:30:00+00:00	2025-09-11 19:30:00+00:00	0.0	0.0		-0.0		0			727 days 06:00:00			
