Ticker	EntryTime	ExitTime	Return [%]	CAGR [%]	Sharpe Ratio	Max. Drawdown [%]	Win Rate [%]	# Trades	Expectancy [%]	Profit Factor	Duration	Avg. Trade [%]	Max. Trade Duration	Avg. Trade Duration
SPY	2023-10-24 13:30:00+00:00	2025-10-20 19:30:00+00:00	14.612107849121076	7.130219780777369	0.9490705500446185	-1.6668410841704007	100.0	3	7.1963307965758005		727 days 06:00:00	7.170991110066094	2 days 01:00:00	1 days 04:00:00
META	2023-10-24 13:30:00+00:00	2025-10-20 19:30:00+00:00	19.699642639160157	9.50593902991399	1.7572057378293435	-3.5494776721736288	100.0	5	4.755726613042372		727 days 06:00:00	4.703869501366298	7 days 04:00:00	3 days 11:00:00
AAPL	2023-10-24 13:30:00+00:00	2025-10-20 19:30:00+00:00	76.07015380859379	33.06804068564841	2.0011342313348526	-2.1444846544865226	100.0	16	4.543287776689224		727 days 06:00:00	4.474704796567819	7 days 05:00:00	3 days 15:00:00
AMZN	2023-10-24 13:30:00+00:00	2025-10-20 19:30:00+00:00	35.59742645263675	16.62410016751319	1.7349498589584311	-2.1233797183902503	100.0	11	3.51167373853174		727 days 06:00:00	3.471217599046028	7 days 05:00:00	3 days 04:00:00
NFLX	2023-10-24 13:30:00+00:00	2025-10-20 19:30:00+00:00	14.222698974609374	6.946247243631554	1.4098224614951995	-1.1715618964988406	100.0	4	4.700515127546626		727 days 06:00:00	4.651875393045368	2 days 01:00:00	1 days 03:00:00
MRNA	2023-10-24 13:30:00+00:00	2025-10-20 19:30:00+00:00	193.72934167861942	72.31301897758746	2.5985534667925476	-4.077813519698781	100.0	14	10.437538289373254		727 days 06:00:00	10.303839044947761	7 days 01:00:00	4 days 03:00:00
TSLA	2023-10-24 13:30:00+00:00	2025-10-20 19:30:00+00:00	249.91717285156255	88.23826239038756	2.1559294520691132	-3.594712519829524	93.75	17	8.400664800192656	3059.6569905218435	727 days 06:00:00	8.1961638947724	6 days 05:00:00	2 days 12:00:00
TNA	2023-10-24 13:30:00+00:00	2025-10-20 19:30:00+00:00	38.455656089782714	17.859154280322276	1.7191445916234738	-3.1811737401175377	100.0	6	6.76004025734834		727 days 06:00:00	6.736745060095162	4 days 05:00:00	3 days 00:00:00
GLD	2023-10-24 13:30:00+00:00	2025-10-20 19:30:00+00:00	4.303499450683593	2.150646016039559	1.6107673061326557	-0.3583736966983886	100.0	3	2.1494765712553487		727 days 06:00:00	2.149083609081437	6 days 05:00:00	4 days 17:00:00
SLV	2023-10-24 13:30:00+00:00	2025-10-20 19:30:00+00:00	24.907358646392787	11.886559685074882	2.349634727919374	-1.2971416416754922	100.0	9	2.8264301743610583		727 days 06:00:00	2.821747329872659	4 days 06:00:00	3 days 12:00:00
USO	2023-10-24 13:30:00+00:00	2025-10-20 19:30:00+00:00	39.432126922607424	18.27819461830402	2.33254003209035	-2.239956827084888	100.0	9	4.270763065220828		727 days 06:00:00	4.25771882019117	4 days 04:00:00	2 days 15:00:00
BAC	2023-10-24 13:30:00+00:00	2025-10-20 19:30:00+00:00	9.098952941894531	4.496025680726867	1.1326734794049498	-5.466986864383616	100.0	5	2.2129557809195233		727 days 06:00:00	2.203517586739112	5 days 05:00:00	3 days 05:00:00
CVX	2023-10-24 13:30:00+00:00	2025-10-20 19:30:00+00:00	20.09251251220703	9.687298898456543	2.4983423653400303	-1.2023426756026523	100.0	12	1.6933458040821117		727 days 06:00:00	1.6839525852117454	5 days 06:00:00	1 days 17:00:00
